time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,9,2,1,1
2025-02-13 00:00:00+00:00,0,0,5,1
2025-02-14 00:00:00+00:00,0,0,4,3
2025-02-15 00:00:00+00:00,3,3,9,3
2025-02-16 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,2,1,12,3
2025-02-19 00:00:00+00:00,0,0,4,2
2025-02-20 00:00:00+00:00,0,0,3,2
2025-02-21 00:00:00+00:00,0,0,4,2
2025-02-22 00:00:00+00:00,0,0,1,1
2025-02-23 00:00:00+00:00,1,1,3,1
2025-02-25 00:00:00+00:00,0,0,3,3
2025-02-26 00:00:00+00:00,0,0,7,4
2025-02-27 00:00:00+00:00,1,1,9,2
2025-02-28 00:00:00+00:00,2,2,2,2
2025-03-01 00:00:00+00:00,3,2,0,0
2025-03-02 00:00:00+00:00,2,2,0,0
2025-03-03 00:00:00+00:00,0,0,33,4
2025-03-04 00:00:00+00:00,2,2,11,4
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,2,2
2025-03-07 00:00:00+00:00,1,1,5,3
2025-03-08 00:00:00+00:00,2,2,4,3
2025-03-09 00:00:00+00:00,0,0,3,2
2025-03-10 00:00:00+00:00,3,1,6,3
2025-03-11 00:00:00+00:00,1,1,5,2
2025-03-12 00:00:00+00:00,0,0,3,2
2025-03-13 00:00:00+00:00,0,0,5,5
2025-03-14 00:00:00+00:00,0,0,2,2
2025-03-15 00:00:00+00:00,0,0,2,1
2025-03-16 00:00:00+00:00,3,2,1,1
2025-03-18 00:00:00+00:00,0,0,4,4
2025-03-19 00:00:00+00:00,1,1,28,9
2025-03-20 00:00:00+00:00,1,1,3,3
2025-03-21 00:00:00+00:00,3,2,16,4
2025-03-22 00:00:00+00:00,1,1,6,1
2025-03-23 00:00:00+00:00,10,3,1,1
2025-03-24 00:00:00+00:00,22,8,2,2
2025-03-25 00:00:00+00:00,2,1,0,0
2025-03-26 00:00:00+00:00,12,7,4,4
2025-03-27 00:00:00+00:00,0,0,16,5
2025-03-28 00:00:00+00:00,10,4,3,3
